
﻿Ticker,close,date,high,low,month,open,volume,Daily_Return,Cumulative_return,sector
TECHM,1317.45,6/6/2024 5:30,1323.6,1274.2,2024-06,1285.0,3205121,0.039900545,0.08325111,SOFTWARE
TECHM,1377.6,6/7/2024 5:30,1381.0,1327.0,2024-06,1330.0,5790599,0.045656382,0.132708436,SOFTWARE
TECHM,1340.35,6/10/2024 5:30,1378.0,1335.15,2024-06,1377.6,2532308,-0.027039779,0.10208025,SOFTWARE
TECHM,1349.45,6/11/2024 5:30,1359.85,1341.15,2024-06,1348.9,1465705,0.006789271,0.109562572,SOFTWARE
TECHM,1370.6,6/12/2024 5:30,1381.0,1357.15,2024-06,1364.8,2786009,0.015673052,0.126952804,SOFTWARE
TECHM,1388.95,6/13/2024 5:30,1396.85,1375.35,2024-06,1380.0,1953367,0.013388297,0.142040783,SOFTWARE
TECHM,1371.45,6/14/2024 5:30,1395.75,1364.1,2024-06,1395.0,1733356,-0.012599446,0.127651702,SOFTWARE
TECHM,1371.35,6/18/2024 5:30,1391.45,1370.15,2024-06,1380.45,950760,-7.29e-05,0.127569479,SOFTWARE
TECHM,1381.15,6/19/2024 5:30,1386.95,1361.0,2024-06,1377.0,1313197,0.007146243,0.135627364,SOFTWARE
TECHM,1393.1,6/20/2024 5:30,1399.0,1371.45,2024-06,1386.0,1987190,0.00865221,0.14545305,SOFTWARE
TECHM,1399.8,6/21/2024 5:30,1440.3,1386.05,2024-06,1408.0,6836535,0.004809418,0.150962013,SOFTWARE
TECHM,1401.7,6/24/2024 5:30,1409.0,1381.0,2024-06,1390.0,1111433,0.001357337,0.152524256,SOFTWARE
TECHM,1427.75,6/25/2024 5:30,1432.0,1394.75,2024-06,1398.8,2201375,0.018584576,0.17394343,SOFTWARE
TECHM,1413.05,6/26/2024 5:30,1434.8,1410.0,2024-06,1432.8,1565878,-0.01029592,0.161856603,SOFTWARE
TECHM,1432.25,6/27/2024 5:30,1443.8,1392.0,2024-06,1404.35,4286657,0.01358763,0.17764348,SOFTWARE
TECHM,1430.35,6/28/2024 5:30,1453.0,1426.65,2024-06,1441.0,2222285,-0.001326584,0.176081237,SOFTWARE
TECHM,1472.1,7/1/2024 5:30,1478.5,1424.15,2024-07,1430.35,3837301,0.02918866,0.210409472,SOFTWARE
TECHM,1472.15,7/2/2024 5:30,1498.0,1470.0,2024-07,1480.0,2092643,3.4e-05,0.210450584,SOFTWARE
TECHM,1479.8,7/3/2024 5:30,1485.0,1461.0,2024-07,1479.95,896602,0.005196481,0.216740668,SOFTWARE
TECHM,1459.15,7/4/2024 5:30,1492.0,1453.3,2024-07,1482.0,1322999,-0.013954588,0.199761552,SOFTWARE
TECHM,1461.35,7/5/2024 5:30,1470.0,1449.95,2024-07,1467.0,1334838,0.001507727,0.201570465,SOFTWARE
TECHM,1467.6,7/8/2024 5:30,1478.95,1460.15,2024-07,1461.35,807698,0.004276867,0.206709423,SOFTWARE
TECHM,1465.75,7/9/2024 5:30,1469.4,1455.0,2024-07,1466.0,1049695,-0.001260561,0.205188291,SOFTWARE
TECHM,1463.35,7/10/2024 5:30,1472.8,1441.5,2024-07,1472.1,802718,-0.001637387,0.203214932,SOFTWARE
TECHM,1460.6,7/11/2024 5:30,1476.0,1441.25,2024-07,1476.0,1408434,-0.00187925,0.20095379,SOFTWARE
TECHM,1505.05,7/12/2024 5:30,1511.8,1461.05,2024-07,1475.0,4372156,0.030432699,0.237502056,SOFTWARE
TECHM,1499.05,7/15/2024 5:30,1527.5,1492.0,2024-07,1520.1,2374623,-0.003986579,0.232568656,SOFTWARE
TECHM,1516.2,7/16/2024 5:30,1519.0,1489.1,2024-07,1503.35,1794159,0.011440579,0.246669956,SOFTWARE
TECHM,1539.35,7/18/2024 5:30,1545.7,1505.0,2024-07,1507.0,2752497,0.015268434,0.265704654,SOFTWARE
TECHM,1491.4,7/19/2024 5:30,1539.95,1486.5,2024-07,1538.0,2504915,-0.031149511,0.226278573,SOFTWARE
TECHM,1495.55,7/22/2024 5:30,1505.85,1476.1,2024-07,1479.95,2225781,0.00278262,0.22969084,SOFTWARE
